Index Name,S&P/BMV Total Mexico Index (MXN) TR
26-Oct-17,138.0860388
25-Oct-17,137.9331999
24-Oct-17,141.3612648
23-Oct-17,139.6856418
20-Oct-17,140.9457222
19-Oct-17,140.9318648
18-Oct-17,140.7729443
17-Oct-17,141.3758576
16-Oct-17,140.1751485
13-Oct-17,140.8707159
12-Oct-17,140.8361188
11-Oct-17,141.4149359
10-Oct-17,141.0408659
9-Oct-17,141.4193458
6-Oct-17,142.0242896
5-Oct-17,142.4498819
4-Oct-17,142.6480308
3-Oct-17,142.7692704
2-Oct-17,142.4660375
29-Sep-17,141.9502658
28-Sep-17,141.3551424
27-Sep-17,141.4127274
26-Sep-17,141.9463
25-Sep-17,142.0269187
22-Sep-17,141.8792939
21-Sep-17,142.4311235
20-Sep-17,141.9199348
19-Sep-17,141.6580803
18-Sep-17,141.756935
15-Sep-17,140.9498224
14-Sep-17,141.3637405
13-Sep-17,141.5166374
12-Sep-17,142.3909161
11-Sep-17,142.0693061
8-Sep-17,141.3048999
7-Sep-17,141.9679428
6-Sep-17,142.6045444
5-Sep-17,141.995364
4-Sep-17,143.3316314
1-Sep-17,144.0211774
31-Aug-17,144.3695853
30-Aug-17,144.2587541
29-Aug-17,144.6042615
28-Aug-17,144.5604843
25-Aug-17,144.8433884
24-Aug-17,145.062928
23-Aug-17,144.6645459
22-Aug-17,144.8446273
21-Aug-17,144.6075289
18-Aug-17,144.0937595
17-Aug-17,143.7861922
16-Aug-17,144.2635233
15-Aug-17,144.7246401
14-Aug-17,144.3138456
11-Aug-17,142.9295523
10-Aug-17,143.4237463
9-Aug-17,144.3414155
8-Aug-17,144.6356154
7-Aug-17,144.8153572
4-Aug-17,144.5897132
3-Aug-17,144.3540388
2-Aug-17,144.0540445
1-Aug-17,143.9460672
31-Jul-17,143.4344315
28-Jul-17,143.9622677
27-Jul-17,144.0571336
26-Jul-17,145.0755072
25-Jul-17,145.3194788
24-Jul-17,145.1746787
21-Jul-17,144.8529981
20-Jul-17,143.8309344
19-Jul-17,143.7303697
18-Jul-17,143.7965507
17-Jul-17,144.4100397
14-Jul-17,143.9627341
13-Jul-17,143.4426554
12-Jul-17,143.0131084
11-Jul-17,142.045537
10-Jul-17,142.3542442
7-Jul-17,140.8754778
6-Jul-17,140.7493036
5-Jul-17,141.6347944
4-Jul-17,140.9680485
3-Jul-17,141.1369396
30-Jun-17,140.5154945
29-Jun-17,138.7478306
28-Jun-17,139.1148603
27-Jun-17,138.455312
26-Jun-17,138.7488432
23-Jun-17,137.8408141
22-Jun-17,137.9262223
21-Jun-17,137.7315244
20-Jun-17,137.8756757
19-Jun-17,138.2423684
16-Jun-17,138.3228229
15-Jun-17,138.0534022
14-Jun-17,138.4300639
13-Jun-17,137.7825645
12-Jun-17,137.9751701
9-Jun-17,137.7966519
8-Jun-17,137.8284522
7-Jun-17,138.2677212
6-Jun-17,138.0792927
5-Jun-17,139.1301756
2-Jun-17,138.3909046
1-Jun-17,137.7260849
31-May-17,136.8142852
30-May-17,138.1549444
29-May-17,138.6883776
26-May-17,139.248097
25-May-17,138.4184027
24-May-17,138.6276169
